Date,value
2014-01-08,2.391
2014-01-08,3.004
2014-01-08,3.581
2014-01-08,3.295
2014-01-08,2.118
2014-01-08,1.124
2014-01-08,0.441
2014-01-08,0.25
2014-01-08,0.027
2014-01-09,0.001
2014-01-09,0.14
2014-01-09,0.774
2014-01-09,1.691
2014-01-09,2.559
2014-01-09,3.56
2014-01-09,3.791
2014-01-09,3.866
2014-01-09,2.68
2014-01-09,1.618
2014-01-09,0.795
2014-01-09,0.26
2014-01-09,0.021
2014-01-10,0.135
2014-01-10,0.791
2014-01-10,1.721
2014-01-10,2.759
2014-01-10,2.703
2014-01-10,2.134
2014-01-10,2.537
2014-01-10,1.889
2014-01-10,1.982
2014-01-10,0.866
2014-01-10,0.408
2014-01-10,0.03
2014-01-11,0.002
2014-01-11,0.12
2014-01-11,0.758
2014-01-11,1.756
2014-01-11,2.7
2014-01-11,2.948
2014-01-11,2.934
2014-01-11,3.546
2014-01-11,2.556
2014-01-11,1.298
2014-01-11,1.025
2014-01-11,0.397
2014-01-11,0.028
2014-01-12,0.005
2014-01-12,0.148
2014-01-12,0.834
2014-01-12,1.87
2014-01-12,2.891
2014-01-12,3.502
2014-01-12,3.874
2014-01-12,4.11
2014-01-12,3.786
2014-01-12,2.723
2014-01-12,1.619
2014-01-12,0.593
2014-01-12,0.046
2014-01-13,0.128
2014-01-13,0.73
2014-01-13,1.606
2014-01-13,2.572
2014-01-13,3.312
2014-01-13,3.786
2014-01-13,3.51
2014-01-13,2.742
2014-01-13,1.88
2014-01-13,0.839
2014-01-13,0.191
2014-01-13,0.007
2014-01-14,0.003
2014-01-14,0.125
2014-01-14,0.769
2014-01-14,1.641
2014-01-14,2.55
2014-01-14,3.194
2014-01-14,3.655
2014-01-14,3.365
2014-01-14,2.268
2014-01-14,0.901
2014-01-14,1.034
2014-01-14,0.212
2014-01-14,0.011
2014-01-15,0.059
2014-01-15,0.529
2014-01-15,1.961
2014-01-15,2.499
2014-01-15,3.209
2014-01-15,2.193
2014-01-15,1.972
2014-01-15,1.854
2014-01-15,1.727
2014-01-15,1.185
2014-01-15,0.429
2014-01-15,0.046
2014-01-16,0.001
2014-01-16,0.134
2014-01-16,0.766
2014-01-16,1.704
2014-01-16,2.628
2014-01-16,3.392
2014-01-16,2.402
2014-01-16,1.902
2014-01-16,1.356
2014-01-16,1.528
2014-01-16,1.043
2014-01-16,0.351
2014-01-16,0.012
2014-01-17,0.003
2014-01-17,0.117
2014-01-17,0.694
2014-01-17,1.657
2014-01-17,2.24
2014-01-17,2.502
2014-01-17,3.396
2014-01-17,3.806
2014-01-17,3.234
2014-01-17,2.372
2014-01-17,1.414
2014-01-17,0.537
2014-01-17,0.053
2014-01-18,0.003
2014-01-18,0.133
2014-01-18,0.762
2014-01-18,1.738
2014-01-18,2.706
2014-01-18,3.418
2014-01-18,3.703
2014-01-18,3.507
2014-01-18,2.948
2014-01-18,1.985
2014-01-18,1.082
2014-01-18,0.403
2014-01-18,0.04
2014-01-19,0.004
2014-01-19,0.133
2014-01-19,0.76
2014-01-19,1.658
2014-01-19,2.531
2014-01-19,3.183
2014-01-19,3.721
2014-01-19,3.478
2014-01-19,2.926
2014-01-19,1.878
2014-01-19,0.942
2014-01-19,0.437
2014-01-19,0.044
2014-01-20,0.002
2014-01-20,0.14
2014-01-20,0.788
2014-01-20,1.72
2014-01-20,2.767
2014-01-20,3.542
2014-01-20,3.802
2014-01-20,3.742
2014-01-20,2.826
2014-01-20,2.209
2014-01-20,1.344
2014-01-20,0.54
2014-01-20,0.057
2014-01-21,0.002
2014-01-21,0.139
2014-01-21,0.795
2014-01-21,1.666
2014-01-21,2.899
2014-01-21,3.657
2014-01-21,3.986
2014-01-21,3.829
2014-01-21,3.483
2014-01-21,2.659
2014-01-21,1.613
2014-01-21,0.619
2014-01-21,0.067
2014-01-22,0.001
2014-01-22,0.136
2014-01-22,0.782
2014-01-22,1.767
2014-01-22,2.803
2014-01-22,3.527
2014-01-22,3.889
2014-01-22,3.676
2014-01-22,2.799
2014-01-22,1.897
2014-01-22,1.107
2014-01-22,0.44
2014-01-22,0.052
2014-01-23,0.13
2014-01-23,0.682
2014-01-23,1.476
2014-01-23,2.492
2014-01-23,3.307
2014-01-23,3.826
2014-01-23,3.71
2014-01-23,3.062
2014-01-23,1.849
2014-01-23,1.178
2014-01-23,0.466
2014-01-23,0.052
2014-01-24,0.071
2014-01-24,0.332
2014-01-24,0.624
2014-01-24,2.021
2014-01-24,3.254
2014-01-24,3.52
2014-01-24,3.438
2014-01-24,2.997
2014-01-24,2.249
2014-01-24,1.329
2014-01-24,0.507
2014-01-24,0.057
2014-01-25,0.001
2014-01-25,0.133
2014-01-25,0.738
2014-01-25,1.695
2014-01-25,2.623
2014-01-25,3.197
2014-01-25,3.33
2014-01-25,3.161
2014-01-25,2.734
2014-01-25,2.227
2014-01-25,1.34
2014-01-25,0.494
2014-01-25,0.057
2014-01-26,0.004
2014-01-26,0.139
2014-01-26,0.783
2014-01-26,1.753
2014-01-26,2.743
2014-01-26,3.423
2014-01-26,3.853
2014-01-26,3.488
2014-01-26,3.074
2014-01-26,1.574
2014-01-26,1.218
2014-01-26,0.303
2014-01-26,0.028
2014-01-27,0.001
2014-01-27,0.141
2014-01-27,0.775
2014-01-27,1.697
2014-01-27,2.673
2014-01-27,3.552
2014-01-27,3.712
2014-01-27,3.423
2014-01-27,2.905
2014-01-27,2.187
2014-01-27,1.148
2014-01-27,0.347
2014-01-27,0.036
2014-01-28,0.133
2014-01-28,0.744
2014-01-28,1.694
2014-01-28,2.551
2014-01-28,3.395
2014-01-28,2.876
2014-01-28,2.828
2014-01-28,1.686
2014-01-28,1.786
2014-01-28,0.85
2014-01-28,0.43
2014-01-28,0.039
2014-01-29,0.001
2014-01-29,0.121
2014-01-29,0.667
2014-01-29,1.354
2014-01-29,2.273
2014-01-29,3.008
2014-01-29,3.312
2014-01-29,2.438
2014-01-29,2.266
2014-01-29,1.507
2014-01-29,1.196
2014-01-29,0.596
2014-01-29,0.07
2014-01-30,0.159
2014-01-30,0.843
2014-01-30,1.792
2014-01-30,2.902
2014-01-30,3.733
2014-01-30,3.932
2014-01-30,3.824
2014-01-30,3.203
2014-01-30,2.23
2014-01-30,1.261
2014-01-30,0.516
2014-01-30,0.082
2014-01-31,0.136
2014-01-31,0.742
2014-01-31,1.676
2014-01-31,2.721
2014-01-31,3.497
2014-01-31,4.014
2014-01-31,3.945
2014-01-31,3.156
2014-01-31,2.15
2014-01-31,1.213
2014-01-31,0.452
2014-01-31,0.06
2014-02-01,0.004
2014-02-01,0.142
2014-02-01,0.764
2014-02-01,1.641
2014-02-01,2.596
2014-02-01,3.442
2014-02-01,3.838
2014-02-01,3.703
2014-02-01,3.155
2014-02-01,2.33
2014-02-01,1.337
2014-02-01,0.589
2014-02-01,0.08
2014-02-02,0.004
2014-02-02,0.142
2014-02-02,0.764
2014-02-02,1.725
2014-02-02,2.749
2014-02-02,3.416
2014-02-02,3.793
2014-02-02,3.752
2014-02-02,3.219
2014-02-02,2.378
2014-02-02,1.344
2014-02-02,0.451
2014-02-02,0.083
2014-02-03,0.004
2014-02-03,0.153
2014-02-03,0.818
2014-02-03,1.755
2014-02-03,2.738
2014-02-03,3.472
2014-02-03,3.898
2014-02-03,3.961
2014-02-03,3.407
2014-02-03,2.48
2014-02-03,1.541
2014-02-03,0.708
2014-02-03,0.096
2014-02-04,0.164
2014-02-04,0.924
2014-02-04,1.903
2014-02-04,2.924
2014-02-04,3.737
2014-02-04,4.063
2014-02-04,4.047
2014-02-04,3.47
2014-02-04,2.666
2014-02-04,1.461
2014-02-04,0.531
2014-02-04,0.067
2014-02-05,0.153
2014-02-05,0.763
2014-02-05,1.617
2014-02-05,2.654
2014-02-05,3.522
2014-02-05,3.886
2014-02-05,3.544
2014-02-05,2.814
2014-02-05,1.835
2014-02-05,0.991
2014-02-05,0.401
2014-02-05,0.053
2014-02-06,0.158
2014-02-06,0.806
2014-02-06,1.617
2014-02-06,2.619
2014-02-06,3.6
2014-02-06,3.897
2014-02-06,3.82
2014-02-06,3.297
2014-02-06,2.287
2014-02-06,1.25
2014-02-06,0.517
2014-02-06,0.062
2014-02-07,0.001
2014-02-07,0.157
2014-02-07,0.778
2014-02-07,1.585
2014-02-07,2.293
2014-02-07,2.979
2014-02-07,3.46
2014-02-07,3.685
2014-02-07,1.511
2014-02-07,1.247
2014-02-07,0.714
2014-02-07,0.435
2014-02-07,0.06
2014-02-08,0.004
2014-02-08,0.168
2014-02-08,0.794
2014-02-08,1.707
2014-02-08,2.607
2014-02-08,3.487
2014-02-08,4.006
2014-02-08,4.011
2014-02-08,3.488
2014-02-08,2.326
2014-02-08,1.205
2014-02-08,0.518
2014-02-08,0.085
2014-02-09,0.001
2014-02-09,0.186
2014-02-09,0.956
2014-02-09,2.024
2014-02-09,3.188
2014-02-09,4.029
2014-02-09,4.504
2014-02-09,4.52
2014-02-09,3.892
2014-02-09,2.894
2014-02-09,1.825
2014-02-09,0.792
2014-02-09,0.119
2014-02-10,0.002
2014-02-10,0.18
2014-02-10,0.88
2014-02-10,1.953
2014-02-10,2.98
2014-02-10,3.645
2014-02-10,3.437
2014-02-10,3.587
2014-02-10,3.605
2014-02-10,2.751
2014-02-10,1.738
2014-02-10,0.733
2014-02-10,0.106
2014-02-11,0.181
2014-02-11,0.884
2014-02-11,1.832
2014-02-11,2.721
2014-02-11,3.262
2014-02-11,3.293
2014-02-11,3.476
2014-02-11,1.719
2014-02-11,1.369
2014-02-11,0.43
2014-02-11,0.198
2014-02-11,0.056
2014-02-12,0.194
2014-02-12,0.914
2014-02-12,1.957
2014-02-12,3.12
2014-02-12,4.103
2014-02-12,4.064
2014-02-12,4.005
2014-02-12,3.373
2014-02-12,2.872
2014-02-12,1.857
2014-02-12,0.79
2014-02-12,0.135
2014-02-13,0.198
2014-02-13,0.953
2014-02-13,2.038
2014-02-13,3.199
2014-02-13,4.019
2014-02-13,4.502
2014-02-13,4.236
2014-02-13,3.555
2014-02-13,2.421
2014-02-13,1.37
2014-02-13,0.564
2014-02-13,0.093
2014-02-14,0.183
2014-02-14,0.886
2014-02-14,1.89
2014-02-14,2.888
2014-02-14,3.773
2014-02-14,3.894
2014-02-14,3.413
2014-02-14,3.011
2014-02-14,1.974
2014-02-14,1.377
2014-02-14,0.686
2014-02-14,0.119
2014-02-15,0.214
2014-02-15,1.064
2014-02-15,2.22
2014-02-15,3.196
2014-02-15,4.194
2014-02-15,4.75
2014-02-15,4.576
2014-02-15,4.016
2014-02-15,3.062
2014-02-15,1.888
2014-02-15,0.771
2014-02-15,0.127
2014-02-16,0.003
2014-02-16,0.23
2014-02-16,1.071
2014-02-16,2.259
2014-02-16,3.323
2014-02-16,4.099
2014-02-16,4.531
2014-02-16,4.424
2014-02-16,4.018
2014-02-16,3.12
2014-02-16,1.867
2014-02-16,0.802
2014-02-16,0.122
2014-02-17,0.002
2014-02-17,0.224
2014-02-17,1.048
2014-02-17,2.22
2014-02-17,3.232
2014-02-17,3.968
2014-02-17,4.044
2014-02-17,3.706
2014-02-17,3.619
2014-02-17,2.796
2014-02-17,1.792
2014-02-17,0.778
2014-02-17,0.131
2014-02-18,0.215
2014-02-18,0.983
2014-02-18,2.068
2014-02-18,3.177
2014-02-18,3.944
2014-02-18,4.283
2014-02-18,4.413
2014-02-18,3.522
2014-02-18,2.462
2014-02-18,1.5
2014-02-18,0.657
2014-02-18,0.114
2014-02-19,0.23
2014-02-19,0.991
2014-02-19,2.065
2014-02-19,3.179
2014-02-19,4.063
2014-02-19,4.407
2014-02-19,3.812
2014-02-19,3.048
2014-02-19,2.357
2014-02-19,1.499
2014-02-19,0.628
2014-02-19,0.11
2014-02-20,0.208
2014-02-20,0.976
2014-02-20,1.863
2014-02-20,3.055
2014-02-20,3.619
2014-02-20,4.1
2014-02-20,3.888
2014-02-20,3.151
2014-02-20,2.17
2014-02-20,1.153
2014-02-20,0.475
2014-02-20,0.089
2014-02-21,0.001
2014-02-21,0.236
2014-02-21,1.011
2014-02-21,1.876
2014-02-21,2.833
2014-02-21,3.511
2014-02-21,3.989
2014-02-21,4.065
2014-02-21,3.458
2014-02-21,2.384
2014-02-21,1.199
2014-02-21,0.503
2014-02-21,0.096
2014-02-22,0.002
2014-02-22,0.252
2014-02-22,0.974
2014-02-22,1.9
2014-02-22,2.889
2014-02-22,3.78
2014-02-22,3.879
2014-02-22,3.622
2014-02-22,2.081
2014-02-22,1.624
2014-02-22,1.034
2014-02-22,0.615
2014-02-22,0.12
2014-02-23,0.004
2014-02-23,0.204
2014-02-23,0.895
2014-02-23,1.926
2014-02-23,2.692
2014-02-23,3.657
2014-02-23,3.452
2014-02-23,2.938
2014-02-23,2.448
2014-02-23,2.161
2014-02-23,1.434
2014-02-23,0.698
2014-02-23,0.123
2014-02-24,0.003
2014-02-24,0.248
2014-02-24,1.041
2014-02-24,2.11
2014-02-24,3.182
2014-02-24,4.124
2014-02-24,4.297
2014-02-24,3.907
2014-02-24,3.366
2014-02-24,2.532
2014-02-24,1.16
2014-02-24,0.375
2014-02-24,0.085
2014-02-25,0.002
2014-02-25,0.24
2014-02-25,0.964
2014-02-25,1.955
2014-02-25,2.935
2014-02-25,3.86
2014-02-25,4.446
2014-02-25,3.714
2014-02-25,3.31
2014-02-25,2.277
2014-02-25,1.028
2014-02-25,0.38
2014-02-25,0.072
2014-02-26,0.006
2014-02-26,0.262
2014-02-26,1.032
2014-02-26,1.954
2014-02-26,2.708
2014-02-26,3.043
2014-02-26,2.957
2014-02-26,2.57
2014-02-26,2.932
2014-02-26,2.029
2014-02-26,1.046
2014-02-26,0.502
2014-02-26,0.087
2014-02-27,0.002
2014-02-27,0.259
2014-02-27,1.017
2014-02-27,2.078
2014-02-27,3.104
2014-02-27,3.746
2014-02-27,3.906
2014-02-27,4.209
2014-02-27,3.399
2014-02-27,2.761
2014-02-27,1.701
2014-02-27,0.963
2014-02-27,0.168
2014-02-28,0.005
2014-02-28,0.294
2014-02-28,1.164
2014-02-28,2.337
2014-02-28,3.305
2014-02-28,4
2014-02-28,4.408
2014-02-28,4.152
2014-02-28,3.415
2014-02-28,2.538
2014-02-28,1.311
2014-02-28,0.575
2014-02-28,0.125
2014-03-01,0.002
2014-03-01,0.27
2014-03-01,1.049
2014-03-01,2.067
2014-03-01,3.158
2014-03-01,3.948
2014-03-01,4.549
2014-03-01,4.252
2014-03-01,3.832
2014-03-01,2.092
2014-03-01,0.737
2014-03-01,0.433
2014-03-01,0.128
2014-03-02,0.005
2014-03-02,0.318
2014-03-02,1.262
2014-03-02,2.381
2014-03-02,3.243
2014-03-02,4.229
2014-03-02,4.686
2014-03-02,4.402
2014-03-02,2.324
2014-03-02,1.288
2014-03-02,0.84
2014-03-02,0.245
2014-03-02,0.095
2014-03-03,0.003
2014-03-03,0.288
2014-03-03,1.064
2014-03-03,2.051
2014-03-03,2.708
2014-03-03,3.556
2014-03-03,4.14
2014-03-03,3.613
2014-03-03,1.525
2014-03-03,0.683
2014-03-03,0.75
2014-03-03,0.542
2014-03-03,0.113
2014-03-04,0.005
2014-03-04,0.337
2014-03-04,1.188
2014-03-04,2.331
2014-03-04,3.35
2014-03-04,4.274
2014-03-04,3.826
2014-03-04,3.274
2014-03-04,3.223
2014-03-04,3.191
2014-03-04,0.848
2014-03-04,0.861
2014-03-04,0.188
2014-03-05,0.006
2014-03-05,0.359
2014-03-05,1.34
2014-03-05,2.553
2014-03-05,3.664
2014-03-05,4.567
2014-03-05,4.881
2014-03-05,4.694
2014-03-05,4.267
2014-03-05,3.296
2014-03-05,2.046
2014-03-05,0.954
2014-03-05,0.179
2014-03-06,0.004
2014-03-06,0.331
2014-03-06,1.133
2014-03-06,2.268
2014-03-06,3.243
2014-03-06,3.982
2014-03-06,4.254
2014-03-06,4.244
2014-03-06,3.515
2014-03-06,2.641
2014-03-06,1.466
2014-03-06,0.402
2014-03-06,0.032
2014-03-15,0.013
2014-03-15,0.426
2014-03-15,1.361
2014-03-15,2.578
2014-03-15,3.926
2014-03-15,4.734
2014-03-15,4.97
2014-03-15,4.608
2014-03-15,3.217
2014-03-15,1.861
2014-03-15,1.68
2014-03-15,0.906
2014-03-15,0.21
2014-03-16,0.017
2014-03-16,0.519
2014-03-16,1.681
2014-03-16,3.081
2014-03-16,4.311
2014-03-16,5.276
2014-03-16,5.653
2014-03-16,5.347
2014-03-16,4.449
2014-03-16,3.422
2014-03-16,2.334
2014-03-16,1.124
2014-03-16,0.23
2014-03-17,0.016
2014-03-17,0.443
2014-03-17,1.541
2014-03-17,2.801
2014-03-17,4.13
2014-03-17,4.941
2014-03-17,5.36
2014-03-17,4.075
2014-03-17,3.053
2014-03-17,2.853
2014-03-17,2.113
2014-03-17,1.106
2014-03-17,0.204
2014-03-18,0.019
2014-03-18,0.576
2014-03-18,1.596
2014-03-18,3.11
2014-03-18,4.436
2014-03-18,5.243
2014-03-18,5.565
2014-03-18,5.55
2014-03-18,5.158
2014-03-18,3.203
2014-03-18,1.204
2014-03-18,0.582
2014-03-18,0.117
2014-03-19,0.021
2014-03-19,0.532
2014-03-19,1.588
2014-03-19,2.703
2014-03-19,3.92
2014-03-19,4.788
2014-03-19,5.172
2014-03-19,5.003
2014-03-19,3.384
2014-03-19,1.498
2014-03-19,0.564
2014-03-19,0.166
2014-03-19,0.053
2014-03-20,0.022
2014-03-20,0.469
2014-03-20,1.402
2014-03-20,2.529
2014-03-20,3.436
2014-03-20,4.059
2014-03-20,4.694
2014-03-20,4.685
2014-03-20,3.922
2014-03-20,2.568
2014-03-20,1.326
2014-03-20,0.516
2014-03-20,0.073
2014-03-21,0.025
2014-03-21,0.51
2014-03-21,1.543
2014-03-21,2.799
2014-03-21,4.12
2014-03-21,5.128
2014-03-21,5.384
2014-03-21,4.771
2014-03-21,4.009
2014-03-21,2.168
2014-03-21,0.708
2014-03-21,0.366
2014-03-21,0.057
2014-03-22,0.027
2014-03-22,0.519
2014-03-22,1.542
2014-03-22,2.695
2014-03-22,3.783
2014-03-22,4.537
2014-03-22,4.949
2014-03-22,4.935
2014-03-22,2.711
2014-03-22,2.685
2014-03-22,1.092
2014-03-22,0.605
2014-03-22,0.182
2014-03-23,0.029
2014-03-23,0.542
2014-03-23,1.63
2014-03-23,2.803
2014-03-23,4.038
2014-03-23,4.996
2014-03-23,5.277
2014-03-23,5.182
2014-03-23,3.708
2014-03-23,1.848
2014-03-23,1.232
2014-03-23,0.529
2014-03-23,0.148
2014-03-24,0.032
2014-03-24,0.57
2014-03-24,1.659
2014-03-24,2.911
2014-03-24,4.149
2014-03-24,4.935
2014-03-24,5.081
2014-03-24,4.806
2014-03-24,4.008
2014-03-24,2.33
2014-03-24,1.185
2014-03-24,0.412
2014-03-24,0.058
2014-03-25,0.033
2014-03-25,0.517
2014-03-25,1.459
2014-03-25,2.396
2014-03-25,3.64
2014-03-25,4.665
2014-03-25,5.089
2014-03-25,3.188
2014-03-25,1.61
2014-03-25,1.937
2014-03-25,0.319
2014-03-25,0.234
2014-03-25,0.1
2014-03-26,0.038
2014-03-26,0.552
2014-03-26,1.567
2014-03-26,2.833
2014-03-26,3.656
2014-03-26,3.84
2014-03-26,4.001
2014-03-26,4.472
2014-03-26,2.58
2014-03-26,2.092
2014-03-26,1.827
2014-03-26,1.011
2014-03-26,0.235
2014-03-27,0.041
2014-03-27,0.622
2014-03-27,1.726
2014-03-27,2.885
2014-03-27,3.947
2014-03-27,4.908
2014-03-27,5.161
2014-03-27,4.92
2014-03-27,2.381
2014-03-27,1.403
2014-03-27,1.278
2014-03-27,1.017
2014-03-27,0.21
2014-03-28,0.043
2014-03-28,0.624
2014-03-28,1.753
2014-03-28,2.838
2014-03-28,3.978
2014-03-28,4.623
2014-03-28,5.104
2014-03-28,5.166
2014-03-28,4.212
2014-03-28,3.297
2014-03-28,2.069
2014-03-28,0.604
2014-03-28,0.155
2014-03-29,0.042
2014-03-29,0.574
2014-03-29,1.535
2014-03-29,2.591
2014-03-29,3.503
2014-03-29,4.813
2014-03-29,5.201
2014-03-29,4.393
2014-03-29,3.103
2014-03-29,0.911
2014-03-29,0.18
2014-03-29,0.672
2014-03-29,0.208
2014-03-30,0.023
2014-03-30,0.592
2014-03-30,1.659
2014-03-30,2.824
2014-03-30,4.095
2014-03-30,4.801
2014-03-30,5.126
2014-03-30,4.499
2014-03-30,0.412
2014-03-30,0.317
2014-03-30,0.328
2014-03-30,0.255
2014-03-31,0.049
2014-03-31,0.61
2014-03-31,1.631
2014-03-31,2.652
2014-03-31,3.938
2014-03-31,4.759
2014-03-31,4.99
2014-03-31,3.856
2014-03-31,3.404
2014-03-31,2.72
2014-03-31,2.013
2014-03-31,0.858
2014-03-31,0.164
2014-04-01,0.054
2014-04-01,0.616
2014-04-01,1.607
2014-04-01,2.481
2014-04-01,3.921
2014-04-01,4.899
2014-04-01,4.987
2014-04-01,3.959
2014-04-01,3.334
2014-04-01,2.551
2014-04-01,0.218
2014-04-01,0.029
2014-04-02,0.055
2014-04-02,0.622
2014-04-02,1.695
2014-04-02,2.734
2014-04-02,3.21
2014-04-02,4.026
2014-04-02,4.846
2014-04-02,4.023
2014-04-02,2.938
2014-04-02,2.118
2014-04-02,0.775
2014-04-02,0.33
2014-04-02,0.122
2014-04-03,0.056
2014-04-03,0.568
2014-04-03,1.444
2014-04-03,2.505
2014-04-03,3.255
2014-04-03,4.425
2014-04-03,4.671
2014-04-03,3.625
2014-04-03,4.05
2014-04-03,2.258
2014-04-03,0.784
2014-04-03,0.334
2014-04-03,0.135
2014-04-04,0.055
2014-04-04,0.602
2014-04-04,1.608
2014-04-04,2.861
2014-04-04,3.86
2014-04-04,4.393
2014-04-04,4.914
2014-04-04,4.756
2014-04-04,4.08
2014-04-04,3.118
2014-04-04,1.906
2014-04-04,0.652
2014-04-04,0.168
2014-04-05,0.061
2014-04-05,0.673
2014-04-05,1.776
2014-04-05,3.006
2014-04-05,4.09
2014-04-05,4.725
2014-04-05,5.205
2014-04-05,4.46
2014-04-05,3.519
2014-04-05,2.725
2014-04-05,1.207
2014-04-05,0.488
2014-04-05,0.188
2014-04-06,0.069
2014-04-06,0.729
2014-04-06,1.944
2014-04-06,3.203
2014-04-06,4.374
2014-04-06,5.209
2014-04-06,5.386
2014-04-06,5.094
2014-04-06,4.295
2014-04-06,3.35
2014-04-06,2.192
2014-04-06,1.064
2014-04-06,0.242
2014-04-07,0.075
2014-04-07,0.678
2014-04-07,1.857
2014-04-07,3.021
2014-04-07,4.279
2014-04-07,4.801
2014-04-07,5.098
2014-04-07,3.992
2014-04-07,2.6
2014-04-07,3.37
2014-04-07,2.239
2014-04-07,0.946
2014-04-07,0.218
2014-04-08,0.074
2014-04-08,0.503
2014-04-08,1.499
2014-04-08,1.154
2014-04-08,2.463
2014-04-08,3.738
2014-04-08,4.307
2014-04-08,3.678
2014-04-08,2.431
2014-04-08,2.068
2014-04-08,1.786
2014-04-08,0.732
2014-04-08,0.228
2014-04-09,0.074
2014-04-09,0.695
2014-04-09,1.832
2014-04-09,3.138
2014-04-09,4.268
2014-04-09,4.998
2014-04-09,5.293
2014-04-09,5.207
2014-04-09,4.628
2014-04-09,3.476
2014-04-09,1.806
2014-04-09,0.704
2014-04-09,0.166
2014-04-10,0.08
2014-04-10,0.772
2014-04-10,1.71
2014-04-10,2.834
2014-04-10,4.103
2014-04-10,5.014
2014-04-10,5.04
2014-04-10,5.506
2014-04-10,4.765
2014-04-10,3.595
2014-04-10,1.8
2014-04-10,1.032
2014-04-10,0.145
2014-04-11,0.103
2014-04-11,0.771
2014-04-11,1.841
2014-04-11,3.017
2014-04-11,4.133
2014-04-11,4.611
2014-04-11,4.5
2014-04-11,5.328
2014-04-11,4.645
2014-04-11,2.9
2014-04-11,1.706
2014-04-11,1.122
2014-04-11,0.217
2014-04-12,0.101
2014-04-12,0.74
2014-04-12,1.718
2014-04-12,2.891
2014-04-12,4.106
2014-04-12,5.083
2014-04-12,5.608
2014-04-12,5.41
2014-04-12,4.065
2014-04-12,3.306
2014-04-12,2.227
2014-04-12,1.017
2014-04-12,0.205
2014-04-13,0.107
2014-04-13,0.755
2014-04-13,1.854
2014-04-13,2.927
2014-04-13,4.367
2014-04-13,5.228
2014-04-13,5.352
2014-04-13,5.2
2014-04-13,4.34
2014-04-13,3.651
2014-04-13,1.894
2014-04-13,0.515
2014-04-13,0.083
2014-04-14,0.113
2014-04-14,0.691
2014-04-14,1.718
2014-04-14,2.923
2014-04-14,4.118
2014-04-14,5.079
2014-04-14,5.538
2014-04-14,5.178
2014-04-14,3.701
2014-04-14,2.052
2014-04-14,0.172
2014-04-14,0.013
2014-04-15,0.059
2014-04-15,0.519
2014-04-15,1.091
2014-04-15,2.199
2014-04-15,3.339
2014-04-15,3.419
2014-04-15,3.849
2014-04-15,3.37
2014-04-15,3.02
2014-04-15,0.869
2014-04-15,0.049
2014-04-15,0.031
2014-04-16,0.104
2014-04-16,0.768
2014-04-16,1.923
2014-04-16,3.203
2014-04-16,4.33
2014-04-16,4.864
2014-04-16,3.86
2014-04-16,3.758
2014-04-16,2.685
2014-04-16,1.101
2014-04-16,1.183
2014-04-16,1.01
2014-04-16,0.223
2014-04-17,0.111
2014-04-17,0.822
2014-04-17,1.996
2014-04-17,3.355
2014-04-17,4.475
2014-04-17,5.123
2014-04-17,5.394
2014-04-17,2.792
2014-04-17,1.612
2014-04-17,3.329
2014-04-17,2.387
2014-04-17,1.258
2014-04-17,0.276
2014-04-18,0.108
2014-04-18,0.765
2014-04-18,1.869
2014-04-18,3.046
2014-04-18,4.324
2014-04-18,5.142
2014-04-18,5.634
2014-04-18,5.348
2014-04-18,4.184
2014-04-18,1.403
2014-04-18,0.236
